Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Assembly BioSample Accession
GCF_004328725.1	ASM432872v1	Lactococcus garvieae		JJJN1					GCF_004328725.1-RS_2024_04_01	Complete Genome	2019-03-06		1.0	SAMN08435054
GCF_017309485.1	ASM1730948v1	Lactococcus garvieae		LG728					GCF_017309485.1-RS_2024_03_31	Complete Genome	2021-03-09		5.0	SAMN18086910
GCF_037076365.1	ASM3707636v1	Lactococcus garvieae		L21-12					GCF_037076365.1-RS_2024_04_05	Complete Genome	2024-04-05		1.0	SAMD00570828
GCF_038381215.1	ASM3838121v1	Lactococcus garvieae		L2					GCF_038381215.1-RS_2024_04_19	Complete Genome	2024-04-20		4.0	SAMN40028296
GCF_038380565.1	ASM3838056v1	Lactococcus garvieae		L7					GCF_038380565.1-RS_2024_04_19	Complete Genome	2024-04-20		2.0	SAMN40028301
GCF_017309505.1	ASM1730950v1	Lactococcus garvieae		LG791					GCF_017309505.1-RS_2024_03_31	Complete Genome	2021-03-09		3.0	SAMN18086911
GCF_000269945.1	ASM26994v1	Lactococcus garvieae Lg2		Lg2					GCF_000269945.1-RS_2024_03_30	Complete Genome	2011-08-09		1.0	SAMD00060912
GCF_022810665.1	ASM2281066v1	Lactobacillus johnsonii		7409N31					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-04-04		1.0	SAMN21619988
GCF_004011315.1	ASM401131v1	Lactobacillus johnsonii		ZLJ010					GCF_004011315.1-RS_2024_05_18	Complete Genome	2019-01-10		1.0	SAMN10160121
GCF_013487865.1	ASM1348786v1	Lactobacillus johnsonii		3DG					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-23		1.0	SAMN13624827
GCF_002176835.1	ASM217683v1	Lactobacillus johnsonii		UMNLJ22					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-06-08		3.0	SAMN04573146
GCF_014841035.1	ASM1484103v1	Lactobacillus johnsonii		GHZ10a					GCF_014841035.1-RS_2024_04_07	Complete Genome	2020-10-04		3.0	SAMN16131614
GCF_002176855.1	ASM217685v1	Lactobacillus johnsonii		UMNLJ21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-06-08		3.0	SAMN04573145
GCF_032463545.1	ASM3246354v1	Lactobacillus johnsonii		N7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-08		1.0	SAMN37526579
GCF_032463685.1	ASM3246368v1	Lactobacillus johnsonii		N5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-08		1.0	SAMN37526372
GCF_003316915.1	ASM331691v1	Lactobacillus johnsonii		Byun-jo-01					GCF_003316915.1-RS_2024_05_18	Complete Genome	2018-07-13		1.0	SAMN08281023
GCF_022213385.1	ASM2221338v1	Lactobacillus johnsonii		MR1					GCF_022213385.1-RS_2024_03_27	Complete Genome	2022-02-13		1.0	SAMN23978983
GCF_010586925.1	ASM1058692v1	Lactobacillus johnsonii		G2A					GCF_010586925.1-RS_2024_05_06	Complete Genome	2020-02-14		3.0	SAMN11618738
GCF_009769185.1	ASM976918v1	Lactobacillus johnsonii		DC22.2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-19		5.0	SAMN11371966
GCF_003428395.1	ASM342839v1	Lactobacillus johnsonii		IDCC9203					GCF_003428395.1-RS_2024_03_30	Complete Genome	2018-08-26		1.0	SAMN09858432
GCF_033704075.1	ASM3370407v1	Lactobacillus johnsonii		KD1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-11-15		2.0	SAMN33360842
GCF_003390735.1	ASM339073v1	Bifidobacterium bifidum		S6					GCF_003390735.1-RS_2024_04_03	Complete Genome	2018-08-15		1.0	SAMN07484235
GCF_902386775.1	UHGG_MGYG-HGUT-02396	Bifidobacterium bifidum					MGYG-HGUT-02396		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-10		1.0	SAMEA5851900
GCF_002845845.1	ASM284584v1	Bifidobacterium bifidum		PRI 1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-20		1.0	SAMN06140833
GCF_029011515.1	ASM2901151v1	Bifidobacterium bifidum		VSI20					GCF_029011515.1-RS_2024_04_03	Complete Genome	2023-03-06		1.0	SAMN33275447
GCF_016838705.1	ASM1683870v1	Bifidobacterium bifidum		HN002					GCF_016838705.1-RS_2024_04_03	Complete Genome	2021-02-09		1.0	SAMN17735950
GCF_001281345.1	ASM128134v1	Bifidobacterium bifidum		BF3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-09-14		1.0	SAMN03271680
GCF_017894325.1	ASM1789432v1	Bifidobacterium bifidum		CNCM I-4319					GCF_017894325.1-RS_2024_03_29	Complete Genome	2021-04-09		1.0	SAMN15324980
GCF_003573895.1	ASM357389v1	Bifidobacterium bifidum		TMC 3115					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-10-03		1.0	SAMD00078313
GCF_020892075.1	ASM2089207v1	Bifidobacterium bifidum		YIT 10347					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-03		1.0	SAMD00324644
GCF_000165905.1	ASM16590v1	Bifidobacterium bifidum PRL2010		PRL2010					GCF_000165905.1-RS_2024_03_27	Complete Genome	2010-11-02		1.0	SAMN02603510
GCF_000265095.1	ASM26509v1	Bifidobacterium bifidum BGN4		BGN4					GCF_000265095.1-RS_2024_03_27	Complete Genome	2012-06-05		1.0	SAMN02603486
GCF_000164965.1	ASM16496v1	Bifidobacterium bifidum S17		S17					GCF_000164965.1-RS_2024_03_27	Complete Genome	2010-10-19		1.0	SAMN02603395
GCF_000008065.1	ASM806v1	Lactobacillus johnsonii NCC 533		NCC 533					GCF_000008065.1-RS_2024_05_21	Complete Genome	2004-02-02		1.0	SAMN02603676
GCF_000204985.1	ASM20498v1	Lactobacillus johnsonii DPC 6026		DPC 6026					GCF_000204985.1-RS_2024_03_29	Complete Genome	2011-04-20		1.0	SAMN02603892
GCF_000498675.1	ASM49867v1	Lactobacillus johnsonii N6.2		N6.2					GCF_000498675.1-RS_2024_05_21	Complete Genome	2013-11-25		1.0	SAMN02641596
GCF_000091405.1	ASM9140v1	Lactobacillus johnsonii FI9785		FI9785					GCF_000091405.1-RS_2024_04_04	Complete Genome	2009-11-04		3.0	SAMEA2272487
GCF_020042125.1	ASM2004212v1	Lactobacillus crispatus		Lc1226					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-20		1.0	SAMN21367958
GCF_027271175.1	ASM2727117v1	Lactobacillus crispatus		Lcr-MH175					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-12-25		1.0	SAMN32119433
GCF_029011495.1	ASM2901149v1	Lactobacillus crispatus		VSI21					GCF_029011495.1-RS_2024_05_01	Complete Genome	2023-03-06		2.0	SAMN33275448
GCF_029011595.1	ASM2901159v1	Lactobacillus crispatus		VSI17					GCF_029011595.1-RS_2024_04_06	Complete Genome	2023-03-06		1.0	SAMN33275444
GCF_020042005.1	ASM2004200v1	Lactobacillus crispatus		Lc1700					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-20		3.0	SAMN21367959
GCF_016767795.1	ASM1676779v1	Lactobacillus crispatus		PRL2021					GCF_016767795.1-RS_2024_03_23	Complete Genome	2021-01-28		1.0	SAMN15357510
GCF_009730275.1	ASM973027v1	Lactobacillus crispatus		FDAARGOS_743					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-12-05		2.0	SAMN11056458
GCF_020887095.1	ASM2088709v1	Lactobacillus crispatus		KT-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-01		2.0	SAMD00404900
GCF_003971565.1	ASM397156v1	Lactobacillus crispatus		AB70					GCF_003971565.1-RS_2024_04_05	Complete Genome	2018-12-27		2.0	SAMN08409124
GCF_020042225.1	ASM2004222v1	Lactobacillus crispatus		Lc116					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-09-20		2.0	SAMN21367957
GCF_013487905.1	ASM1348790v1	Lactobacillus crispatus		1D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-23		1.0	SAMN13624824
GCF_003795065.1	ASM379506v1	Lactobacillus crispatus		CO3MRSI1					GCF_003795065.1-RS_2024_04_06	Complete Genome	2018-11-19		1.0	SAMN10343598
GCF_029011765.1	ASM2901176v1	Lactobacillus crispatus		VSI08					GCF_029011765.1-RS_2024_04_06	Complete Genome	2023-03-06		1.0	SAMN33275435
GCF_026740115.1	ASM2674011v1	Lactobacillus crispatus		M247					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-30		1.0	SAMN23407640
GCF_029011155.1	ASM2901115v1	Lactobacillus crispatus		VSI04					GCF_029011155.1-RS_2024_04_06	Complete Genome	2023-03-06		1.0	SAMN33275431
GCF_021278945.1	ASM2127894v1	Lactobacillus crispatus		lc31					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-12-23		1.0	SAMN15862579
GCF_018885325.1	ASM1888532v1	Lactobacillus crispatus		PMC201					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-15		4.0	SAMN19601668
GCF_021278925.1	ASM2127892v1	Lactobacillus crispatus		lc83					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-12-23		1.0	SAMN15862762
GCF_029011475.1	ASM2901147v1	Lactobacillus crispatus		VSI24					GCF_029011475.1-RS_2024_04_06	Complete Genome	2023-03-06		2.0	SAMN33275449
GCF_009933525.1	ASM993352v1	Lactobacillus crispatus		C25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-01-27		2.0	SAMN13634618
GCF_013456995.1	ASM1345699v1	Lactobacillus crispatus		B4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-22		1.0	SAMN15516019
GCF_000466885.3	ASM46688v3	Lactobacillus crispatus 2029		2029					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-07-27		2.0	SAMN02298797
GCF_018363095.1	ASM1836309v1	Lacticaseibacillus casei		FBL6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-05-16		1.0	SAMN19017040
GCF_002192215.1	ASM219221v1	Lacticaseibacillus casei		LC5					GCF_002192215.1-RS_2024_05_07	Complete Genome	2017-06-13		1.0	SAMN05631198
GCF_032466035.1	ASM3246603v1	Lacticaseibacillus casei		LMG 24102					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10		1.0	SAMN37405139
GCF_032466055.1	ASM3246605v1	Lacticaseibacillus casei		LMG 24099					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10		1.0	SAMN37405138
GCF_015476095.1	ASM1547609v1	Lacticaseibacillus casei		MGB0470					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-15		1.0	SAMN16657552
GCF_037901485.1	ASM3790148v1	Lacticaseibacillus casei		LC130					GCF_037901485.1-RS_2024_04_05	Complete Genome	2024-04-05		2.0	SAMN39212590
GCF_014170075.1	ASM1417007v1	Akkermansia muciniphila		AK32					GCF_014170075.1-RS_2024_05_06	Complete Genome	2020-08-12		1.0	SAMN15393864
GCF_018847255.1	ASM1884725v1	Akkermansia muciniphila		Akk1616					GCF_018847255.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350255
GCF_018847275.1	ASM1884727v1	Akkermansia muciniphila		Akk16145					GCF_018847275.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350254
GCF_018847335.1	ASM1884733v1	Akkermansia muciniphila		Akk1610					GCF_018847335.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350251
GCF_018847315.1	ASM1884731v1	Akkermansia muciniphila		Akk16115					GCF_018847315.1-RS_2024_05_12	Complete Genome	2021-06-11		1.0	SAMN18350252
GCF_018847295.1	ASM1884729v1	Akkermansia muciniphila		Akk1613					GCF_018847295.1-RS_2024_05_12	Complete Genome	2021-06-11		1.0	SAMN18350253
GCF_018847355.1	ASM1884735v1	Akkermansia muciniphila		Akk1576					GCF_018847355.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350250
GCF_018847395.1	ASM1884739v1	Akkermansia muciniphila		Akk1570					GCF_018847395.1-RS_2024_05_12	Complete Genome	2021-06-11		1.0	SAMN18350248
GCF_018847535.1	ASM1884753v1	Akkermansia muciniphila		Akk0880					GCF_018847535.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350241
GCF_018847215.1	ASM1884721v1	Akkermansia muciniphila		Akk1756					GCF_018847215.1-RS_2024_05_12	Complete Genome	2021-06-11		1.0	SAMN18350258
GCF_010223095.1	ASM1022309v1	Akkermansia muciniphila		EB-AMDK-29					GCF_010223095.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN08565495
GCF_010223115.1	ASM1022311v1	Akkermansia muciniphila		EB-AMDK-30					GCF_010223115.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN08565496
GCF_004104435.1	ASM410443v1	Akkermansia muciniphila		CBA5201					GCF_004104435.1-RS_2024_05_06	Complete Genome	2019-01-24		1.0	SAMN10186677
GCF_028743255.1	ASM2874325v1	Akkermansia muciniphila		OB21 FAA NB 28					GCF_028743255.1-RS_2024_05_06	Complete Genome	2023-02-20		1.0	SAMN33243781
GCF_010231195.1	ASM1023119v1	Akkermansia muciniphila		EB-AMDK-49					GCF_010231195.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN09288185
GCF_010230725.1	ASM1023072v1	Akkermansia muciniphila		EB-AMDK-47					GCF_010230725.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN09288168
GCF_010230515.1	ASM1023051v1	Akkermansia muciniphila		EB-AMDK-46					GCF_010230515.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN09288166
GCF_010230935.1	ASM1023093v1	Akkermansia muciniphila		EB-AMDK-48					GCF_010230935.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN09288183
GCF_017570505.1	ASM1757050v1	Akkermansia muciniphila		KGMB01990					GCF_017570505.1-RS_2024_05_12	Complete Genome	2021-03-23		1.0	SAMN18309826
GCF_017570425.1	ASM1757042v1	Akkermansia muciniphila		KGMB02009					GCF_017570425.1-RS_2024_05_06	Complete Genome	2021-03-23		1.0	SAMN18309827
GCF_017570525.1	ASM1757052v1	Akkermansia muciniphila		KGMB01988					GCF_017570525.1-RS_2024_05_06	Complete Genome	2021-03-23		1.0	SAMN18309824
GCF_017570485.1	ASM1757048v1	Akkermansia muciniphila		KGMB01989					GCF_017570485.1-RS_2024_05_12	Complete Genome	2021-03-23		1.0	SAMN18309825
GCF_033947425.1	ASM3394742v1	Akkermansia muciniphila		SDLYAKK8					GCF_033947425.1-RS_2024_05_12	Complete Genome	2023-11-24		1.0	SAMN32640346
GCF_010223405.1	ASM1022340v1	Akkermansia muciniphila		EB-AMDK-37					GCF_010223405.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN08565502
GCF_010223575.1	ASM1022357v1	Akkermansia muciniphila		EB-AMDK-38					GCF_010223575.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN08565503
GCF_010223135.1	ASM1022313v1	Akkermansia muciniphila		EB-AMDK-31					GCF_010223135.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN08565497
GCF_004015265.1	ASM401526v1	Akkermansia muciniphila		EB-AMDK-8					GCF_004015265.1-RS_2024_05_06	Complete Genome	2019-01-14		1.0	SAMN08329008
GCF_033947545.1	ASM3394754v1	Akkermansia muciniphila		AKK					GCF_033947545.1-RS_2024_05_12	Complete Genome	2023-11-24		1.0	SAMN38095975
GCF_010229315.1	ASM1022931v1	Akkermansia muciniphila		EB-AMDK-6					GCF_010229315.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN09287629
GCF_036796995.1	ASM3679699v1	Akkermansia muciniphila		MucX					GCF_036796995.1-RS_2024_05_13	Complete Genome	2024-04-05		1.0	SAMN22555427
GCF_018847475.1	ASM1884747v1	Akkermansia muciniphila		Akk1376					GCF_018847475.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350244
GCF_018847495.1	ASM1884749v1	Akkermansia muciniphila		Akk1370					GCF_018847495.1-RS_2024_05_12	Complete Genome	2021-06-11		1.0	SAMN18350242
GCF_018847515.1	ASM1884751v1	Akkermansia muciniphila		Akk13715					GCF_018847515.1-RS_2024_05_12	Complete Genome	2021-06-11		1.0	SAMN18350243
GCF_010230155.1	ASM1023015v1	Akkermansia muciniphila		EB-AMDK-26					GCF_010230155.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN09287783
GCF_018847115.1	ASM1884711v1	Akkermansia muciniphila		Akk2090					GCF_018847115.1-RS_2024_05_12	Complete Genome	2021-06-11		1.0	SAMN18350263
GCF_018847155.1	ASM1884715v1	Akkermansia muciniphila		Akk2030					GCF_018847155.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350262
GCF_018847175.1	ASM1884717v1	Akkermansia muciniphila		Akk1990					GCF_018847175.1-RS_2024_05_12	Complete Genome	2021-06-11		1.0	SAMN18350260
GCF_004319565.1	ASM431956v1	Akkermansia muciniphila		139					GCF_004319565.1-RS_2024_05_12	Complete Genome	2019-02-28		1.0	SAMN10963682
GCF_004015245.1	ASM401524v1	Akkermansia muciniphila		EB-AMDK-7					GCF_004015245.1-RS_2024_05_06	Complete Genome	2019-01-14		1.0	SAMN08328879
GCF_018847455.1	ASM1884745v1	Akkermansia muciniphila		Akk14745a					GCF_018847455.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350245
GCF_018847435.1	ASM1884743v1	Akkermansia muciniphila		Akk14745b					GCF_018847435.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350246
GCF_018847595.1	ASM1884759v1	Akkermansia muciniphila		Akk0500b					GCF_018847595.1-RS_2024_05_12	Complete Genome	2021-06-11		1.0	SAMN18350238
GCF_010229495.1	ASM1022949v1	Akkermansia muciniphila		EB-AMDK-23					GCF_010229495.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN09287631
GCF_010229955.1	ASM1022995v1	Akkermansia muciniphila		EB-AMDK-25					GCF_010229955.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN09287782
GCF_010229695.1	ASM1022969v1	Akkermansia muciniphila		EB-AMDK-24					GCF_010229695.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN09287781
GCF_003716915.1	ASM371691v1	Akkermansia muciniphila		EB-AMDK-1					GCF_003716915.1-RS_2024_05_06	Complete Genome	2018-11-07		1.0	SAMN07978491
GCF_004015225.1	ASM401522v1	Akkermansia muciniphila		EB-AMDK-17					GCF_004015225.1-RS_2024_05_06	Complete Genome	2019-01-14		1.0	SAMN08334977
GCF_004015085.1	ASM401508v1	Akkermansia muciniphila		EB-AMDK-18					GCF_004015085.1-RS_2024_05_06	Complete Genome	2019-01-14		1.0	SAMN08334978
GCF_004015305.1	ASM401530v1	Akkermansia muciniphila		EB-AMDK-15					GCF_004015305.1-RS_2024_05_06	Complete Genome	2019-01-14		1.0	SAMN08334975
GCF_004015205.1	ASM401520v1	Akkermansia muciniphila		EB-AMDK-16					GCF_004015205.1-RS_2024_05_06	Complete Genome	2019-01-14		1.0	SAMN08334976
GCF_004015025.1	ASM401502v1	Akkermansia muciniphila		EB-AMDK-11					GCF_004015025.1-RS_2024_05_06	Complete Genome	2019-01-14		1.0	SAMN08329199
GCF_004015045.1	ASM401504v1	Akkermansia muciniphila		EB-AMDK-12					GCF_004015045.1-RS_2024_05_06	Complete Genome	2019-01-14		1.0	SAMN08334970
GCF_003716975.1	ASM371697v1	Akkermansia muciniphila		EB-AMDK-2					GCF_003716975.1-RS_2024_05_06	Complete Genome	2018-11-07		1.0	SAMN07980963
GCF_004015285.1	ASM401528v1	Akkermansia muciniphila		EB-AMDK-13					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-14		1.0	SAMN08334972
GCF_004015005.1	ASM401500v1	Akkermansia muciniphila		EB-AMDK-10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-01-14		1.0	SAMN08329147
GCF_902387255.1	UHGG_MGYG-HGUT-02454	Akkermansia muciniphila					MGYG-HGUT-02454		GCF_902387255.1-RS_2024_05_06	Complete Genome	2019-08-10		1.0	SAMEA5851959
GCF_018847055.1	ASM1884705v1	Akkermansia muciniphila		Akk2670					GCF_018847055.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350266
GCF_018847935.1	ASM1884793v1	Akkermansia muciniphila		Akk0096					GCF_018847935.1-RS_2024_05_12	Complete Genome	2021-06-11		1.0	SAMN18350232
GCF_030848265.1	ASM3084826v1	Akkermansia muciniphila		MmAkk2					GCF_030848265.1-RS_2024_05_12	Complete Genome	2023-08-21		1.0	SAMN32279601
GCF_001688765.2	ASM168876v2	Akkermansia muciniphila		YL44					GCF_001688765.2-RS_2024_05_05	Complete Genome	2017-04-05		1.0	SAMN04621615
GCF_030848285.1	ASM3084828v1	Akkermansia muciniphila		MmAkkUCB1					GCF_030848285.1-RS_2024_05_12	Complete Genome	2023-08-21		1.0	SAMN32279753
GCF_010229055.1	ASM1022905v1	Akkermansia muciniphila		EB-AMDK-5					GCF_010229055.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN09287185
GCF_010223075.1	ASM1022307v1	Akkermansia muciniphila		EB-AMDK-28					GCF_010223075.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN08563914
GCF_010223015.1	ASM1022301v1	Akkermansia muciniphila		EB-AMDK-27					GCF_010223015.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN08563913
GCF_004015105.2	ASM401510v2	Akkermansia muciniphila		EB-AMDK-19					GCF_004015105.2-RS_2024_05_18	Complete Genome	2024-05-10		1.0	SAMN08334979
GCF_030848245.1	ASM3084824v1	Akkermansia muciniphila		MmAkk1					GCF_030848245.1-RS_2024_05_06	Complete Genome	2023-08-21		1.0	SAMN32279515
GCF_018847575.1	ASM1884757v1	Akkermansia muciniphila		Akk0500a					GCF_018847575.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350239
GCF_010223255.1	ASM1022325v1	Akkermansia muciniphila		EB-AMDK-35					GCF_010223255.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN08565500
GCF_018847235.1	ASM1884723v1	Akkermansia muciniphila		Akk1713					GCF_018847235.1-RS_2024_05_06	Complete Genome	2021-06-11		1.0	SAMN18350257
GCF_010223195.1	ASM1022319v1	Akkermansia muciniphila		EB-AMDK-36					GCF_010223195.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN08565501
GCF_010223175.1	ASM1022317v1	Akkermansia muciniphila		EB-AMDK-34					GCF_010223175.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN08565499
GCF_010223155.1	ASM1022315v1	Akkermansia muciniphila		EB-AMDK-33					GCF_010223155.1-RS_2024_05_06	Complete Genome	2020-02-06		1.0	SAMN08565498
GCF_004015325.1	ASM401532v1	Akkermansia muciniphila		EB-AMDK-20					GCF_004015325.1-RS_2024_05_06	Complete Genome	2019-01-14		1.0	SAMN08334981
GCF_004015125.1	ASM401512v1	Akkermansia muciniphila		EB-AMDK-22					GCF_004015125.1-RS_2024_05_06	Complete Genome	2019-01-14		1.0	SAMN08334983
GCF_004015345.1	ASM401534v1	Akkermansia muciniphila		EB-AMDK-21					GCF_004015345.1-RS_2024_05_06	Complete Genome	2019-01-14		1.0	SAMN08334982
GCF_028994115.1	ASM2899411v1	Akkermansia muciniphila		AM06					GCF_028994115.1-RS_2024_05_06	Complete Genome	2023-03-05		1.0	SAMN33406633
GCF_033170235.1	ASM3317023v1	Akkermansia muciniphila		Akk007					GCF_033170235.1-RS_2024_05_12	Complete Genome	2023-10-31		1.0	SAMN37925531
GCF_018140615.1	ASM1814061v1	Akkermansia muciniphila		AMUC					GCF_018140615.1-RS_2024_05_06	Complete Genome	2021-04-26		1.0	SAMN18751767
GCF_003716955.1	ASM371695v1	Akkermansia muciniphila		EB-AMDK-4					GCF_003716955.1-RS_2024_05_06	Complete Genome	2018-11-07		1.0	SAMN07980958
GCF_018847795.1	ASM1884779v1	Akkermansia muciniphila		Akk0200					GCF_018847795.1-RS_2024_05_12	Complete Genome	2021-06-11		1.0	SAMN18350234
GCF_003716935.1	ASM371693v1	Akkermansia muciniphila		EB-AMDK-3					GCF_003716935.1-RS_2024_05_06	Complete Genome	2018-11-07		1.0	SAMN07980909
